text,label
['0'],1
"['dave', 'carbonell', 'ph', 'psychologist', 'author', 'panic', 'attack', 'workbook', 'page', 'website', 'regarding', 'anxiety', 'scam', 'essential', 'reading', 'anyone', 'considering', 'purchasing', 'product', 'curing', 'anxiety', 'anxiety', 'scam', 'internet', 'let', 'buyer', 'beware', 'well', 'worth', 'looking']",1
"['hi', 'guy', 'diagnosted', 'trauma', 'bullying', 'ptsd', 'similar', 'soft', 'version', 'post', 'like', 'half', 'year', 'following', 'issue', 'trying', 'sleep', 'wake', 'every', 'hour', 'keep', 'nightmare', 'every', 'time', 'always', 'dream', 'school', 'meet', 'bully', 'quite', 'lot', 'sometimes', 'remembered', 'bully', 'even', 'think', 'cause', 'new', 'unpleasent', 'memory', 'point', 'even', 'want', 'sleep', 'anymore', 'keep', 'seeing', 'people', 'every', 'time', 'fall', 'asleep', 'way', 'stop', 'damn', 'nightmare', 'driving', 'really', 'crazy', 'want', 'peaceful', 'life', 'relaxing', 'sleep', 'also', 'keep', 'waking', 'every', 'hour', 'thank', 'answer']",1
"['sooo', 'november', '2019', 'around', 'thanksgiving', 'suicide', 'attempt', 'ended', 'severe', 'injury', 'spent', 'month', 'hospital', '2', 'month', 'month', 'half', 'psychiatric', 'hospital', 'strange', 'thing', 'almost', 'zero', 'memory', 'icu', 'remember', 'everything', 'else', 'remember', 'er', 'last', 'thing', 'remember', 'icu', 'nurse', 'giving', 'call', 'button', 'iv', 'pain', 'medication', 'short', 'memory', 'think', 'might', 'morphine', 'one', 'clear', 'memory', 'waking', 'surgery', 'eating', 'sandwich', 'throwing', 'lot', 'memory', 'extremly', 'foggy', 'vague', 'really', 'short', 'talking', 'psychiatrist', 'remember', 'waking', 'pediatrics', 'ward', 'surgery', 'approximately', 'one', 'week', 'barely', 'remember', 'anything', 'think', 'due', 'trauma', 'remember', 'everything', 'gave', 'pain', 'med', 'theory', 'either', 'sedated', 'pain', 'medication', 'naturally', 'sedating', 'want', 'remember', 'something', 'thanks']",1
"['absence', 'record', 'work', 'fine', '1', 'day', 'last', 'year', 'put', 'sick', 'note', 'work', 'feel', 'like', 'getting', 'worse', 'doctor', 'upped', 'medication', 'told', 'manager', 'friday', 'mental', 'health', 'kind', 'shrugged', 'worried', 'case', 'go', 'putting', 'sick', 'note']",1
"['diagnosed', 'ptsd', 'back', 'december', 'thought', 'really', 'bad', 'anxiety', 'first', 'put', 'finger', 'one', 'symptom', 'though', 'explained', 'symptom', 'co', 'worker', 'said', 'around', 'lot', 'people', 'put', 'situation', 'feel', 'threatened', 'feel', 'though', 'room', 'like', 'dream', 'non', 'real', 'co', 'worker', 'said', 'could', 'dissociation', 'told', 'therapist', 'told', 'dissociation', 'whole', 'mental', 'health', 'condition', 'mean', 'split', 'personality', 'dissociative', 'identity', 'disorder', 'however', 'therapist', 'said', 'symptom', 'ptsd', 'dissociation', 'really', 'coping', 'moment', 'certainly', 'fit', 'work', 'life', 'complete', 'struggle', 'moment', 'close', 'edge']",1
"['hi', 'describe', 'might', 'seem', 'silly', 'definitely', 'perhaps', 'unmatched', 'real', 'ptsd', 'trauma', 'nothing', 'close', 'sexual', 'abuse', 'violence', 'something', 'serious', 'give', 'problem', 'daily', 'life', 'go', 'week', 'exam', 'skill', 'knowledge', 'obtained', 'certain', 'course', 'neccessary', 'go', 'detail', 'yesterday', 'dream', 'failed', 'afraid', 'dream', 'regularly', 'following', 'week', 'anxiety', 'attack', 'becoming', 'frequent', 'date', 'exam', 'closing', 'started', 'happen', 'college', 'time', 'first', 'experienced', 'dream', 'always', 'time', 'exam', 'period', 'january', 'june', 'september', 'became', 'regular', 'especially', 'senior', 'year', 'graduated', 'left', 'college', '2013', 'experienced', 'kind', 'dream', 'anxiety', 'moment', '2016', 'always', 'year', 'january', 'june', 'september', 'kinda', 'faded', 'away', 'say', 'stressed', 'pretty', 'much', 'regarding', 'finishing', 'college', 'since', 'viable', 'option', 'left', 'failed', 'nowadays', 'every', 'time', 'take', 'kind', 'exam', 'whether', 'language', 'completed', 'course', 'driving', 'exam', 'literally', 'kind', 'test', 'exam', 'knowledge', 'rated', 'someone', 'instructor', 'professor', 'start', 'experiencing', 'anxiety', 'attack', 'bad', 'dream', 'least', 'several', 'day', 'matter', 'importance', 'petty', 'course', 'even', 'fail', 'negative', 'impact', 'life', 'contrary', 'exam', 'college', 'possible', 'trauma', 'caused', 'stressing', 'much', 'successfully', 'completing', 'exam', 'year', 'ago', 'becoming', 'quite', 'annoying', 'deal', 'method', 'get', 'control', 'thanks', 'answer']",1
"['like', 'talk', 'happening', 'hopefully', 'least', 'bit', 'understandable', 'going', 'long', 'post', 'want', 'clear', 'going', 'suffer', 'severe', 'anxiety', 'weird', 'problem', 'clear', 'diagnose', 'therapy', 'multiple', 'time', 'heard', 'thing', 'coming', 'like', 'avoidant', 'personality', 'disorder', 'agoraphobia', 'ocd', 'autism', 'thing', 'aware', 'official', 'diagnose', 'adhd', 'social', 'anxiety', 'disorder', 'last', 'one', 'obvious', 'feel', 'severely', 'anxious', 'around', 'people', 'seem', 'like', 'typical', 'social', 'anxiety', 'issue', 'though', 'come', 'back', 'adhd', 'later', 'trauma', 'reason', 'feel', 'way', 'correct', 'kinda', 'vague', 'coach', 'official', 'therapist', 'pretty', 'positive', 'case', 'showed', 'symptom', 'c', 'ptsd', 'must', 'say', 'relate', 'lot', 'first', 'must', 'tell', 'deal', 'need', 'tell', 'bit', 'past', 'well', 'try', 'keep', 'short', 'going', 'bit', 'hard', 'though', 'lot', 'tell', 'first', '5', 'year', 'old', 'parent', 'divorced', 'mom', 'met', 'new', 'husband', 'mom', 'got', 'pregnant', 'pretty', 'fast', 'soon', 'became', 'trapped', 'basically', 'least', 'week', 'situation', 'getting', 'control', 'ended', 'family', 'getting', 'hurt', 'physical', 'abuse', 'also', 'mentally', 'went', '8', 'year', 'situation', 'still', 'mind', 'mostly', 'constant', 'feeling', 'feeling', 'safe', 'seems', 'blurry', 'though', 'ask', 'actually', 'felt', 'safe', 'sure', 'long', 'time', 'ago', 'thing', 'came', 'climax', '8', 'year', 'husband', 'mom', 'beat', 'mom', 'literally', 'escaped', 'another', 'place', 'insecure', 'time', 'mostly', 'socially', 'however', 'pretty', 'good', 'hiding', 'finished', 'high', 'school', 'quite', 'achievement', 'look', 'back', 'much', 'later', 'started', 'experiencing', 'marijuana', 'made', 'feel', 'bit', 'paranoid', 'however', 'want', 'call', 'however', 'smoking', 'weekly', 'friend', 'want', 'different', 'first', 'year', 'new', 'study', 'fainted', 'classroom', 'terrifying', 'especially', 'take', 'social', 'anxiety', 'consideration', 'well', 'first', 'major', 'panic', 'attack', 'happened', 'marijuana', 'basically', 'experienced', 'many', 'thing', 'fainting', 'one', 'day', 'summer', 'decided', 'try', 'magic', 'mushroom', 'impulsive', 'friend', 'experienced', 'drug', 'want', 'fall', 'behind', 'fear', 'losing', 'control', 'prominent', 'taking', 'felt', 'incredible', 'feeling', 'unease', 'also', 'took', 'forrest', 'comfortable', 'regret', 'still', 'finally', 'decided', 'stop', 'drug', 'much', 'later', 'however', 'experienced', 'full', 'blown', 'panic', 'attack', 'feeling', 'sober', 'however', 'often', 'noticeable', 'feel', 'like', 'hide', 'usually', 'pinch', 'heavily', 'feel', 'need', 'hide', 'started', 'feel', 'super', 'anxious', 'public', 'especially', 'place', 'move', 'easily', 'went', 'search', 'help', 'month', 'found', 'went', 'therapy', 'longer', 'year', 'long', 'story', 'short', 'made', 'improve', 'actually', 'went', 'worse', 'clear', 'plan', 'really', 'help', 'thing', 'week', 'fel', 'deep', 'spend', 'longer', 'year', 'without', 'help', 'waiting', 'therapy', 'waiting', 'list', 'long', 'started', 'develop', 'fear', 'many', 'easily', 'explain', 'think', 'best', 'way', 'describe', 'mind', 'constantly', 'notice', 'thing', 'place', 'category', 'fearful', 'danger', 'focused', 'going', 'insane', 'losing', 'control', 'general', 'felt', 'like', 'experienced', 'world', 'different', 'glass', 'others', 'world', 'felt', 'still', 'feel', 'unsettling', 'hard', 'explain', 'unfortunately', 'constant', 'feeling', 'everything', 'feel', 'see', 'feel', 'fearful', 'like', 'supposed', 'also', 'experience', 'intrusion', 'made', 'totally', 'freeze', 'intrusion', 'hurting', 'others', 'least', 'hope', 'intrusion', 'certain', 'color', 'drink', 'food', 'number', 'became', 'fearful', 'everything', 'place', 'term', 'dark', 'make', 'totally', 'anxious', 'meantime', 'went', 'look', 'help', '1', 'time', 'different', 'place', 'horrible', 'experience', 'although', '1', 'meeting', 'felt', 'like', 'kind', 'horror', 'movie', 'everything', 'felt', 'fearful', 'people', 'well', 'even', 'tell', 'yet', 'spend', 'almost', 'time', 'home', 'first', 'thing', 'able', 'going', 'study', 'later', 'bus', 'friend', 'family', 'grocery', 'store', 'till', 'point', 'simple', 'walk', 'possible', 'anymore', 'important', 'notation', 'still', 'live', 'mom', 'house', 'possible', 'contact', 'relatively', 'good', 'although', 'fear', 'blocking', 'full', 'potential', '1', 'year', 'later', 'nowhere', 'called', 'appointment', 'meantime', 'developed', 'kind', 'thing', 'original', 'question', 'help', 'really', 'valid', 'anymore', 'time', 'limited', '3', 'month', 'completely', 'focussed', 'exposure', 'long', 'story', 'short', 'help', 'send', 'current', 'coach', 'waiting', 'new', 'psychologist', 'recently', 'started', 'social', 'group', 'via', 'coach', 'go', 'outside', 'work', 'like', 'cleaning', 'garden', 'huge', 'step', 'today', 'went', 'first', 'time', 'super', 'tough', 'thing', 'describe', 'thing', 'experienced', 'today', 'high', 'intensity', 'felt', 'super', 'intensely', 'weird', 'overwhelmed', 'hard', 'explain', 'depressed', 'even', 'doubt', 'think', 'also', 'make', 'lot', 'sense', '21', 'year', 'old', 'hope', 'future', 'feel', 'like', 'doomed', 'fearful', 'world', 'sometimes', 'think', 'ending', 'know', 'way', 'frozen', 'know', 'wrong', 'end', 'day', 'afraid', 'nothing', 'tried', 'ton', 'never', 'made', 'improve', 'emotionally', 'feel', 'completely', 'stuck', 'cry', 'hate', 'lack', 'empathy', 'although', 'avoiding', 'want', 'hurt', 'someone', 'fear', 'something', 'schizophrenia', 'something', 'like', 'well', 'although', 'everyone', 'say', 'fear', 'feel', 'weird', 'way', 'think', 'feel', 'order', 'honestly', 'say', 'wish', 'normal', 'know', 'normal', 'anymore', 'feeling', 'like', 'almost', 'forever', 'social', 'contact', 'something', 'struggle', 'wish', 'case', 'brain', 'constantly', 'speaking', 'nonsense', 'know', 'anyone', 'made', 'far', 'thanks', 'time', 'someone', 'think', 'might', 'help', 'please', 'hesitate', 'send', 'reply']",1
"['hello', 'question', 'ptsd', 'lot', 'history', 'alcoholic', 'parent', 'never', 'hit', 'demeaned', 'lot', 'ex', 'husband', 'abuse', 'came', 'back', 'war', 'different', 'would', 'attack', 'fist', 'face', 'push', 'air', 'chest', 'pushing', 'weight', 'also', 'put', 'full', 'weight', 'shoulder', 'injured', 'high', 'school', 'also', 'lock', 'door', 'car', 'speed', 'poke', 'face', 'till', 'cry', 'threw', 'tub', 'throwing', 'morning', 'sickness', 'verbally', 'abused', 'financially', 'crippled', '10', 'year', 'finally', 'finished', 'paying', 'debt', 'left', 'afraid', 'fight', 'paid', 'daughter', 'passing', 'lived', '4', 'year', 'old', 'like', 'talking', 'sick', 'fine', 'sick', 'fine', 'sick', 'went', 'dad', 'house', 'never', 'came', 'home', 'passed', 'sleep', 'sexual', 'abuse', 'went', 'date', 'concented', 'sex', 'concent', 'manner', 'bruised', 'head', 'toe', 'bleeding', 'bite', 'mark', 'never', 'said', 'stop', 'terrifying', 'also', 'used', 'obident', 'ex', 'husband', 'never', 'sexual', 'abused', 'since', 'tend', 'find', 'kinda', 'abusive', 'asshole', 'stop', 'dating', '3', 'year', 'get', 'drug', 'alcohol', 'bit', 'time', 'quit', 'drink', 'responsible', 'never', 'past', 'certain', 'point', 'week', 'issue', 'sticking', 'decision', 'change', 'mind', 'often', 'career', 'hair', 'color', 'fashion', 'car', 'diet', 'horrible', 'memory', 'issue', 'hit', 'random', 'feel', 'lost', 'lot', 'time', 'worthy', 'positive', 'thing', 'also', 'confident', 'work', 'ethic', 'capable', 'job', 'lack', 'confidence', 'social', 'situation', 'relationship', '9', 'year', 'finally', 'decided', 'make', 'friend', 'female', 'male', 'scare', 'give', 'compliment', 'want', 'hang', 'second', 'step', 'comfort', 'zone', 'almost', 'mental', 'break', 'keep', 'moving', 'back', 'home', 'voice', 'head', 'ex', 'husband', 'ex', 'sleep', 'would', 'consider', 'normal', 'like', 'still', 'get', 'control', 'nightmare', 'issue', 'knowing', 'wake', 'also', 'deal', 'paranoia', 'ex', 'husband', 'going', 'find', 'hurt', 'always', 'use', 'parent', 'address', 'even', 'live', 'changed', 'phone', 'number', 'insane', 'amount', 'time', 'ptsd', 'something', 'else', 'sought', 'help', 'dealing', 'daughter', 'passing', 'never', 'connected', 'well', 'therapist', '3', 'session', 'suggestion', 'would', 'much', 'appreciated', 'sick', 'fear', 'doubt']",1
"['hey', 'first', 'time', 'specific', 'forum', 'try', 'thorough', 'basically', 'two', 'different', 'diagnosis', 'two', 'different', 'medical', 'professional', 'one', 'ptsd', 'hybrid', 'various', 'phobia', 'pre', 'existing', 'panic', 'disorder', 'let', 'start', 'symptom', 'prevalent', 'insomnia', 'night', 'terror', 'lot', 'sleeping', 'problem', 'based', 'around', 'body', 'frightened', 'awake', 'like', 'loud', 'bang', 'something', 'would', 'scare', 'walking', 'heightened', 'aggression', 'also', 'list', 'way', 'edge', 'aggressive', 'ever', 'life', 'thing', 'like', 'loud', 'noise', 'trapped', 'enclosed', 'space', 'among', 'big', 'group', 'people', 'send', 'frenzy', 'panic', 'attack', 'followed', 'cognitive', 'function', 'stopping', 'entirely', 'literally', 'cannot', 'think', 'either', 'freeze', 'stand', '10', 'min', 'start', 'destroying', 'everything', 'around', 'context', 'almost', 'died', 'couple', 'time', 'event', 'occurring', 'alone', 'usually', 'situation', 'arose', 'passed', 'matter', 'minute', 'also', 'seen', 'death', 'plenty', 'family', 'member', 'pet', 'dying', 'real', 'time', 'right', 'front', 'impression', 'people', 'go', 'outlier', 'incident', 'fell', 'lake', 'ice', 'child', 'rescued', 'resuscitated', 'point', 'never', 'lethal', 'combat', 'gone', 'severely', 'traumatic', 'experience', 'outside', 'common', 'yet', 'constantly', 'ready', 'fight', 'flight', 'lightest', 'trigger', 'loud', 'noise', 'icy', 'water', 'two', 'seemingly', 'normal', 'occurrence', 'make', 'fear', 'life', 'regular', 'basis', 'understand', 'second', 'one', 'cannot', 'make', 'head', 'tail', 'sleeping', 'issue', 'aversion', 'excessive', 'noise', 'ptsd', 'simply', 'mix', 'phobia', 'compounded', 'existent', 'panic', 'disorder', 'know', 'much', 'ptsd', 'could', 'well', 'type', 'panic', 'disorder', 'asking', 'advice', 'forum']",1
