text,label
['0'],2
"['hi', 'guy', 'anyone', 'stay', 'high', 'alert', 'much', 'u', 'end', 'getting', 'headache', 'throughout', 'day']",2
"['29', 'year', 'old', 'male', 'never', 'diagnosed', 'ctpsd', 'read', 'relate', 'much', 'want', 'write', 'load', 'background', 'anxiety', 'ocd', 'social', 'anxiety', 'insomnia', 'fragmented', 'identity', 'central', 'life', 'way', 'anyone', 'friendship', 'feel', 'right', 'sustained', 'never', 'confidence', 'move', 'away', 'friendship', 'one', 'biggest', 'roadblock', 'struggling', 'come', 'term', '2', 'example', 'guy', '1', 'let', 'call', 'andrew', 'andrew', 'best', 'friend', 'primary', 'school', 'became', 'apparent', 'throughout', 'high', 'school', 'early', 'college', 'year', 'andrew', 'quite', 'different', 'different', 'interest', 'different', 'taste', 'thing', 'different', 'demeanour', 'different', 'many', 'way', 'truth', 'never', 'felt', 'excited', 'hanging', 'still', 'however', 'andrew', 'also', 'bit', 'capricious', 'personality', 'year', 'particularly', 'drunk', 'made', 'scared', 'ever', 'ignoring', 'drifting', 'away', 'friendship', 'incase', 'reacted', 'badly', 'co', 'dependency', 'emerged', 'whereby', 'pretended', 'like', 'avoid', 'conflict', 'andrew', 'capricious', 'personality', 'went', 'away', 'became', 'ease', 'instead', 'co', 'dependency', 'transformed', 'simply', 'wanting', 'hurt', 'andrew', 'feeling', 'hurt', 'happy', 'andrew', 'asked', 'groomsman', 'wedding', 'next', 'year', 'feel', 'right', 'excited', 'friendship', 'group', '1', 'group', 'person', 'one', 'guy', 'friend', 'year', 'age', '22', '26', 'partly', 'confidence', 'issue', 'also', 'guess', 'know', 'many', 'people', 'time', 'stuff', 'common', 'music', 'important', 'wavelenght', 'came', 'music', 'example', 'never', 'got', 'chance', 'go', 'music', 'venue', 'see', 'artist', 'liked', 'go', 'bar', 'nightclub', 'enjoy', 'guy', 'fact', 'narrow', 'minded', 'general', 'feel', 'clicked', 'example', 'group', 'category', 'people', 'would', 'like', 'feel', 'home', 'never', 'felt', 'home', 'never', 'felt', 'right', 'happened', 'group', 'people', 'lived', 'time', 'around', 'time', 'guess', 'inability', 'drift', 'away', 'group', 'partly', 'confidence', 'issue', 'maybe', 'also', 'reality', 'friend', 'time', 'thankfully', 'age', '26', 'moved', 'another', 'city', 'exact', 'music', 'scene', 'wanted', 'met', 'load', 'new', 'people', 'defo', 'street', '26', 'half', '28', 'absolute', 'blast', 'made', 'lost', 'year', 'corona', 'obviously', 'came', 'point', 'actually', 'felt', 'burnt', 'socializing', 'partying', 'however', 'even', 'though', 'great', 'time', 'past', 'year', 'past', 'hanging', 'still', 'friend', 'andrew', 'even', 'though', 'felt', 'connection', 'furthermore', 'despite', 'present', 'great', 'still', 'many', 'regret', 'year', 'wasted', 'group', '1', 'people', 'would', 'ask', 'different', 'experience', 'clubbing', 'music', 'felt', 'like', 'empty', 'hole', 'missing', 'also', 'still', 'whatsapp', 'group', 'group', '1', 'mean', 'hard', 'escape', 'friend', 'year', 'people', 'like', 'music', 'politics', 'small', 'interest', 'sport', 'generally', 'chilled', 'year', 'majority', 'never', 'really', 'clicked', 'thankfully', 'friend', 'new', 'city', 'wavelenght', 'least', 'able', 'enjoy', 'mid', 'late', '20', 'summary', 'closest', 'friendship', 'feel', 'right', 'came', 'due', 'lack', 'confidence', 'co', 'dependency', 'way', 'escaping', 'case', 'wedding', 'next', 'year', 'feel', 'right', 'identity', 'people', 'feel', 'right', 'know', 'deal', 'actually', 'cause', 'severe', 'anguish', 'frustration', 'sometimes', 'feel', 'like', 'physically', 'hurting', 'people', 'supposed', 'friend', 'part', 'feel', 'like', 'absolutely', 'direct', 'ending', 'friendship', 'gonna', 'result', 'hurt', 'pain', 'particularly', 'andrew', 'wedding', 'go', 'next', 'year']",2
"['hi', 'anyone', 'physical', 'effect', 'cptsd', 'many', 'learned', 'website', 'ptsduk', 'looking', 'anyone', 'know', 'experience', 'physically', 'weak', 'physically', 'ageing', 'quite', 'fast', 'peace']",2
"['going', 'shit', 'ton', 'trauma', 'lately', 'posted', 'recently', 'trying', 'figure', 'psychotic', 'disorder', 'grad', 'school', 'drop', 'noticed', 'language', 'messed', 'remembered', 'trauma', 'young', 'age', 'teacher', 'said', 'learned', 'write', 'weird', 'always', 'trouble', 'left', 'right', 'distinguishing', 'v', 'z', 'always', 'really', 'smart', 'great', 'vocabulary', 'get', 'letter', 'word', 'messed', 'time', 'mind', 'move', 'really', 'fast', 'think', 'well', 'thought']",2
"['hey', 'c', 'ptsd', 'never', 'ending', 'amount', 'trauma', 'recently', 'diagnosed', 'graf', 'disease', 'well', 'control', 'slightest', 'experiencing', 'audio', 'visual', 'hallucination', 'think', 'like', 'distortion', 'recognize', 'real', 'really', 'scared', 'may', 'something', 'else', 'part', 'story', 'deep', 'significant', 'history', 'traumatization', 'mental', 'health', 'setting', 'lot', 'internalized', 'stigma', 'anyone', 'else', 'experienced', 'hallucination', 'disorder']",2
"['started', 'new', 'job', 'lab', 'technician', 'tuesday', 'friday', 'morning', 'walked', 'lab', 'sudden', 'panic', 'attack', 'drove', 'home', 'emailed', 'bos', 'say', 'quit', 'feel', 'short', 'breath', 'overwhelmed', 'constantly', 'financially', 'professionally', 'taking', 'toll', 'living', 'mother', 'would', 'completely', 'screwed', 'completely', 'incapacitated', 'trauma', 'right', 'people', 'life', 'understand', 'make', 'feel', 'alone', 'anyone', 'relate']",2
"['complex', 'ptsd', 'learned', 'wait', 'till', 'depressed', 'time', 'high', 'anxiety', 'aggression', 'pas', 'sometimes', 'emotion', 'relived', 'flashback', 'emotion', 'nothing', 'present', 'moment', 'time', 'emotion', 'present', 'circumstance', 'lately', 'feeling', 'guess', 'meta', 'depression', 'depressed', 'reliving', 'depressed', 'emotion', 'overall', 'process', 'waiting', 'time', 'pas', 'also', 'feeling', 'isolated', 'people', 'simply', 'relate', 'understand', 'added', 'layer', 'complexity', 'feel', 'like', 'another', 'level', 'rather', 'hellish', 'situation', 'lie', 'think', 'death', 'lot', 'day', 'nothing', 'definitive', 'regard', 'suicide', 'make', 'sure', 'anything', 'could', 'use', 'locked', 'away', 'generally', 'ensure', 'enough', 'impediment', 'place', 'discourage', 'impulsivity', 'thought', 'distressing', 'time', 'tempting', 'comforting', 'reminded', 'constantly', 'isolated', 'feel', 'people', 'life', 'mean', 'well', 'feel', 'distant', 'self', 'absorbed', 'every', 'nuance', 'behavior', 'others', 'analyzed', 'found', 'calloused', 'thoughtless', 'motif', 'questioned', 'know', 'ptsd', 'fuel', 'difficult', 'swayed', 'convincing', 'inner', 'monologue', 'alone', 'thought', 'every', 'misunderstanding', 'friend', 'family', 'significant', 'pierce', 'directly', 'heart', 'even', 'though', 'know', 'intent', 'every', 'attempt', 'explain', 'feel', 'reflected', 'back', 'distorted', 'closest', 'try', 'understand', 'frustration', 'time', 'anger', 'hurt', 'thought', 'ever', 'cruelly', 'snatch', 'experience', 'though', 'prove', 'see', 'know', 'never', 'funeral', 'mourning', 'person', 'never', 'either', 'case', 'thanks', 'providing', 'forum', 'voice', 'thought']",2
"['around', 'lot', 'changed', 'good', 'suddenly', 'sad', 'helpless', 'feeling', 'worst', 'externalising', 'negative', 'feeling', 'onto', 'anyone', 'else', 'anymore', 'sit', 'big', 'change', 'life', 'trying', 'hard', 'believe', 'punishment', 'trying', 'thing', 'make', 'happy', 'fulfilled', 'way', 'thinking', 'sure', 'feel', 'attractive', 'question', 'vent']",2
"['feeling', 'ashamed', 'humiliated', 'flashback', 'nightmare', 'moment', 'physically', 'feel', 'implement', 'put', 'body', 'physical', 'pain', 'know', 'deal', 'feel', 'like', 'freak', 'need', 'know', 'anyone', 'else', 'experienced', 'handle', 'also', 'wetting', 'lot', 'whenever', 'flashback', 'nightmare', 'sorry', 'mean', 'trigger', 'anyone', 'really', 'feel', 'lost', 'sorry']",2
